measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Denmark,Female,30 to 34,Road injuries,Number,2013,2.5825473508571966,3.297261908736398,2.0287987315353653
Deaths,Denmark,Male,35 to 39,Road injuries,Number,2013,10.959709359958888,13.223368700659021,8.907192449155632
Deaths,Denmark,Female,35 to 39,Road injuries,Number,2013,2.723469293573434,3.4584322802264142,2.072314241728732
Deaths,Denmark,Male,40 to 44,Road injuries,Number,2013,10.125811107915535,12.303001482838802,8.262475929106847
Deaths,Denmark,Female,40 to 44,Road injuries,Number,2013,3.27441406581358,4.146131019931882,2.561423745175617
Deaths,Denmark,Male,45 to 49,Road injuries,Number,2013,13.02414441982492,15.560297316561337,10.743968036308313
Deaths,Denmark,Female,45 to 49,Road injuries,Number,2013,4.029653487734232,5.057531204330874,3.1302107189785553
Deaths,Denmark,Male,50 to 54,Road injuries,Number,2013,12.716102329793275,15.368670717483784,10.518563989959283
Deaths,Denmark,Female,50 to 54,Road injuries,Number,2013,3.8572387956642014,4.878495917200944,3.064462134194444
Deaths,Denmark,Male,55 to 59,Road injuries,Number,2013,11.661294080863959,14.03351270391503,9.605247917396497
Deaths,Denmark,Female,55 to 59,Road injuries,Number,2013,4.04655874314407,5.074845990701984,3.1382292623452583
Deaths,Denmark,Male,60 to 64,Road injuries,Number,2013,11.148968169007112,13.200128123113853,9.3490322061179
Deaths,Denmark,Female,60 to 64,Road injuries,Number,2013,5.08842565730313,6.226826297842248,4.133398020959776
Deaths,Denmark,Male,65 to 69,Road injuries,Number,2013,13.18588612871535,15.81260866668971,11.029573085941477
Deaths,Denmark,Female,65 to 69,Road injuries,Number,2013,6.842878924303735,8.458704399747065,5.436302438606555
Deaths,Denmark,Male,70 to 74,Road injuries,Number,2013,12.08616368005981,14.444224636217376,9.962882997141
Deaths,Denmark,Female,70 to 74,Road injuries,Number,2013,6.960451885741369,8.634303060986293,5.53842012124166
Deaths,Denmark,Male,75 to 79,Road injuries,Number,2013,11.749608661746214,14.127993818082839,9.694452402865496
Deaths,Denmark,Female,75 to 79,Road injuries,Number,2013,8.90132287061496,10.9580486114994,7.089970579960157
Deaths,Denmark,Male,80 plus,Road injuries,Number,2013,23.050421742062316,26.679071942932584,19.789624042574864
Deaths,Denmark,Female,80 plus,Road injuries,Number,2013,17.307697513207113,20.48318395451264,13.856148172866707
Deaths,Denmark,Male,All Ages,Road injuries,Number,2013,188.89221675810185,200.34696660038267,178.63992935238724
Deaths,Denmark,Female,All Ages,Road injuries,Number,2013,82.60813764737861,89.59072088522011,76.18323225198858
Deaths,Estonia,Male,20 to 24,Road injuries,Number,2014,6.709568080054825,8.122048595170558,5.391983276666394
Deaths,Estonia,Female,20 to 24,Road injuries,Number,2014,1.547351549490719,1.974704185404472,1.1712298067879983
Deaths,Estonia,Male,25 to 29,Road injuries,Number,2014,6.152598656499725,7.7046420406708975,4.8117225439794975
